;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;TOTAL
1;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;
9;129;84;37;25;22;67;239;778;1253;932;615;590;560;656;716;1042;856;961;637;484;390;298;233;158;11762
10;94;61;41;22;37;86;263;725;1109;753;561;588;595;632;632;948;910;1020;720;550;462;309;273;183;11574
11;116;74;30;21;22;62;257;655;895;729;593;571;637;685;686;906;834;999;711;557;461;367;285;240;11393
12;126;93;45;23;38;65;265;675;891;595;569;618;681;669;762;982;977;1008;687;584;526;370;296;237;11782
13;178;105;47;18;35;87;254;758;945;663;602;625;722;774;847;974;812;931;763;642;520;472;445;379;12598
14;283;199;199;71;48;48;87;178;313;530;585;709;717;698;675;595;578;532;507;445;392;362;364;342;9457
15;309;213;213;61;43;46;51;97;175;328;409;493;529;575;545;532;502;473;451;410;318;274;242;202;7491
16;141;99;94;36;22;54;159;240;297;405;500;582;596;555;595;646;658;668;502;434;350;287;242;155;8317
17;101;69;30;26;30;77;251;710;991;647;568;556;566;691;717;964;922;938;617;502;402;329;231;211;11146
18;131;86;27;17;26;66;250;702;919;713;532;590;693;701;766;898;909;929;629;577;428;384;276;200;11449
19;121;89;35;26;33;69;230;735;871;509;561;667;611;664;772;963;963;990;718;523;484;333;312;230;11509
20;138;113;52;24;26;72;246;651;859;591;600;642;711;800;837;801;884;920;646;612;474;474;410;333;11916
21;289;195;167;60;61;38;94;204;330;451;575;629;728;691;615;640;586;567;507;442;464;479;380;331;9523
22;307;199;190;103;52;33;62;118;149;276;394;497;561;504;557;534;539;447;415;339;288;265;274;164;7267
23;107;77;37;24;25;74;244;741;968;599;548;607;638;673;722;925;948;884;582;530;399;329;221;149;11051
24;113;64;34;11;31;78;235;726;1022;601;554;617;664;658;714;1001;924;916;584;435;412;334;278;192;11198
25;129;83;35;28;22;62;239;755;899;661;619;634;670;728;738;884;913;937;672;520;464;387;281;201;11561
26;147;103;39;26;24;68;241;725;910;572;568;637;712;636;722;971;1082;978;725;576;480;396;305;244;11887
27;163;133;40;26;45;74;249;716;908;653;631;693;766;815;853;954;931;920;748;562;523;460;434;351;12648
28;289;197;183;65;28;23;95;206;409;528;610;671;733;687;686;773;590;625;533;509;446;473;434;402;10195
29;329;314;222;101;64;29;58;96;180;311;432;570;590;558;587;602;536;539;452;414;337;281;194;160;7956
30;117;78;44;23;27;89;243;655;900;573;534;669;601;650;685;900;867;934;625;574;420;316;230;169;10923
31;121;62;44;27;26;67;234;764;1006;642;585;622;683;626;719;1324;1250;847;471;390;274;224;231;160;11399
